epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,40.2575,0.6504,0.48542,0.81765,0.9623,0.92554,0.9628,0.77432,0.55528,0.41491,0.80278,0.000326323,0.000326323,0.000326323
42,40.9617,0.64676,0.46128,0.80941,0.96574,0.90603,0.96644,0.77084,0.5627,0.41481,0.80342,0.0003289,0.0003289,0.0003289
43,41.6686,0.61491,0.45401,0.8141,0.96574,0.90603,0.96644,0.77084,0.5627,0.41481,0.80342,0.000331212,0.000331212,0.000331212
44,42.4788,0.63369,0.45494,0.82789,0.96968,0.90134,0.96789,0.76875,0.5584,0.41215,0.80273,0.000333261,0.000333261,0.000333261
45,43.1774,0.62604,0.45409,0.8128,0.96968,0.90134,0.96789,0.76875,0.5584,0.41215,0.80273,0.000335045,0.000335045,0.000335045
46,43.8746,0.61797,0.45478,0.82501,0.95831,0.92512,0.96711,0.77954,0.55029,0.41036,0.80229,0.000336565,0.000336565,0.000336565
47,44.5584,0.58271,0.44242,0.80781,0.95831,0.92512,0.96711,0.77954,0.55029,0.41036,0.80229,0.000337821,0.000337821,0.000337821
48,45.2818,0.60497,0.46062,0.82621,0.96586,0.93315,0.96255,0.77022,0.56933,0.41069,0.80409,0.000338813,0.000338813,0.000338813
49,45.9826,0.6444,0.46261,0.80222,0.96586,0.93315,0.96255,0.77022,0.56933,0.41069,0.80409,0.00033954,0.00033954,0.00033954
50,46.7072,0.63332,0.45844,0.81722,0.95299,0.94784,0.9623,0.76793,0.56523,0.40958,0.80349,0.000340004,0.000340004,0.000340004
51,47.3786,0.6246,0.46651,0.81892,0.95299,0.94784,0.9623,0.76793,0.56523,0.40958,0.80349,0.000336835,0.000336835,0.000336835
52,48.1582,0.60758,0.45029,0.81366,0.9592,0.93159,0.96231,0.774,0.5393,0.40313,0.80112,0.000330232,0.000330232,0.000330232
53,48.8489,0.6142,0.44682,0.81755,0.9592,0.93159,0.96231,0.774,0.5393,0.40313,0.80112,0.000323628,0.000323628,0.000323628
54,49.5468,0.59456,0.45442,0.80981,0.95042,0.93526,0.96468,0.77856,0.54032,0.40341,0.80168,0.000317025,0.000317025,0.000317025
55,50.2385,0.58884,0.44821,0.81977,0.95042,0.93526,0.96468,0.77856,0.54032,0.40341,0.80168,0.000310422,0.000310422,0.000310422
56,50.9419,0.6288,0.46664,0.80194,0.95057,0.94513,0.96626,0.77552,0.54985,0.40421,0.80174,0.000303818,0.000303818,0.000303818
57,51.6453,0.60996,0.4503,0.80494,0.95057,0.94513,0.96626,0.77552,0.54985,0.40421,0.80174,0.000297215,0.000297215,0.000297215
58,52.4377,0.64375,0.45624,0.80196,0.96226,0.93607,0.96682,0.77319,0.54819,0.40667,0.80104,0.000290612,0.000290612,0.000290612
59,53.1265,0.6003,0.44659,0.80004,0.96226,0.93607,0.96682,0.77319,0.54819,0.40667,0.80104,0.000284009,0.000284009,0.000284009
60,53.8434,0.63949,0.46924,0.80613,0.96276,0.94317,0.96711,0.77785,0.5392,0.40062,0.79986,0.000277405,0.000277405,0.000277405
61,54.5064,0.58395,0.45529,0.80364,0.96276,0.94317,0.96711,0.77785,0.5392,0.40062,0.79986,0.000270802,0.000270802,0.000270802
62,55.2197,0.56231,0.43341,0.80741,0.97738,0.95123,0.97476,0.77937,0.534,0.40051,0.79896,0.000264199,0.000264199,0.000264199
63,55.9159,0.60814,0.46623,0.80706,0.97738,0.95123,0.97476,0.77937,0.534,0.40051,0.79896,0.000257595,0.000257595,0.000257595
64,56.622,0.62566,0.47118,0.81525,0.97389,0.9454,0.96785,0.77715,0.53472,0.39813,0.79888,0.000250992,0.000250992,0.000250992
65,57.3258,0.60654,0.44609,0.81019,0.97389,0.9454,0.96785,0.77715,0.53472,0.39813,0.79888,0.000244389,0.000244389,0.000244389
66,58.0455,0.57977,0.44174,0.80564,0.97642,0.95075,0.97151,0.77755,0.52749,0.39214,0.79841,0.000237785,0.000237785,0.000237785
67,58.7799,0.61451,0.44902,0.80934,0.97642,0.95075,0.97151,0.77755,0.52749,0.39214,0.79841,0.000231182,0.000231182,0.000231182
68,59.6062,0.57119,0.46276,0.81827,0.97171,0.94029,0.97139,0.77806,0.52234,0.37934,0.79822,0.000224579,0.000224579,0.000224579
69,60.2759,0.63244,0.46886,0.80892,0.97171,0.94029,0.97139,0.77806,0.52234,0.37934,0.79822,0.000217976,0.000217976,0.000217976
70,60.9934,0.56794,0.43763,0.80988,0.97108,0.93318,0.96683,0.77787,0.51884,0.37541,0.79827,0.000211372,0.000211372,0.000211372
71,61.7089,0.55965,0.43223,0.81613,0.97108,0.93318,0.96683,0.77787,0.51884,0.37541,0.79827,0.000204769,0.000204769,0.000204769
72,62.4108,0.60734,0.44672,0.78914,0.98028,0.93604,0.96833,0.77972,0.51554,0.37446,0.79785,0.000198166,0.000198166,0.000198166
73,63.1119,0.56112,0.45078,0.80625,0.98028,0.93604,0.96833,0.77972,0.51554,0.37446,0.79785,0.000191562,0.000191562,0.000191562
74,63.8314,0.64764,0.4662,0.80189,0.98033,0.9281,0.96826,0.78364,0.51977,0.37721,0.79859,0.000184959,0.000184959,0.000184959
75,64.606,0.61191,0.4597,0.81672,0.98033,0.9281,0.96826,0.78364,0.51977,0.37721,0.79859,0.000178356,0.000178356,0.000178356
76,65.3353,0.57601,0.43337,0.80751,0.96936,0.94433,0.97176,0.78474,0.52126,0.37839,0.79879,0.000171752,0.000171752,0.000171752
77,66.0316,0.59391,0.43226,0.82161,0.96936,0.94433,0.97176,0.78474,0.52126,0.37839,0.79879,0.000165149,0.000165149,0.000165149
78,66.7602,0.60833,0.44802,0.80923,0.96551,0.94334,0.97156,0.78413,0.51567,0.37931,0.79793,0.000158546,0.000158546,0.000158546
79,67.4515,0.57466,0.4473,0.81443,0.96551,0.94334,0.97156,0.78413,0.51567,0.37931,0.79793,0.000151943,0.000151943,0.000151943
80,68.1677,0.61666,0.45975,0.7983,0.97809,0.94151,0.97213,0.78467,0.51633,0.3792,0.79826,0.000145339,0.000145339,0.000145339
81,68.882,0.5841,0.45797,0.80866,0.97809,0.94151,0.97213,0.78467,0.51633,0.3792,0.79826,0.000138736,0.000138736,0.000138736
82,69.6393,0.60129,0.44875,0.8105,0.97773,0.9448,0.97251,0.78886,0.51755,0.37838,0.79859,0.000132133,0.000132133,0.000132133
83,70.4206,0.57544,0.42835,0.80901,0.97773,0.9448,0.97251,0.78886,0.51755,0.37838,0.79859,0.000125529,0.000125529,0.000125529
84,71.1564,0.56472,0.42923,0.81811,0.97561,0.94485,0.96976,0.78903,0.51386,0.3751,0.79813,0.000118926,0.000118926,0.000118926
85,71.8791,0.59852,0.45465,0.81973,0.97561,0.94485,0.96976,0.78903,0.51386,0.3751,0.79813,0.000112323,0.000112323,0.000112323
86,72.6545,0.56818,0.42375,0.80065,0.97499,0.94064,0.97121,0.78518,0.50931,0.36895,0.7972,0.00010572,0.00010572,0.00010572
